time,sec,nsecs,x_curr,y_curr,z_curr,x_dot_curr,y_dot_curr,z_dot_curr,x_ddot_curr,y_ddot_curr,z_ddot_curr,roll_curr,pitch_curr,yaw_curr,roll_dot_curr,pitch_dot_curr,yaw_dot_curr,tau_x,tau_y,tau_z,collective_thrust
2026/01/04 17:13:01.924799592,0,0,-0.24037887156009674,-0.40862175822257996,1.0208624601364136,0.4704110026359558,0.06841208040714264,-0.08785641938447952,0.06530929356813431,0.15176324546337128,9.395812034606934,-0.11377991340277895,-0.07306988361175684,-2.8242369297339147,0.0,0.0,0.0,0.6339829802770025,-0.8833037479138225,10.408452912145023,0.0
2026/01/04 17:13:01.953835464,0,0,-0.2299036979675293,-0.4057644009590149,1.0193549394607544,0.4527381956577301,0.07653595507144928,-0.06843017041683197,0.016215477138757706,0.3627305030822754,9.537742614746094,-0.11414491042405935,-0.07558678636482093,-2.8216139449699376,0.0,0.0,0.0,0.6483561854361646,-0.8172343591263322,10.410297115224212,0.0
2026/01/04 17:13:01.988440904,0,0,-0.2162681668996811,-0.40226390957832336,1.0179182291030884,0.42023324966430664,0.08672350645065308,-0.032009560614824295,0.5960617661476135,0.6183336973190308,9.683745384216309,-0.11380358863266687,-0.07325303839382707,-2.8184001379053734,0.0,0.0,0.0,0.7378439374980477,-0.8528580576236586,10.181083376504619,0.0
2026/01/04 17:13:02.16919304,0,0,-0.20609770715236664,-0.3998139202594757,1.0173226594924927,0.4058364927768707,0.10997515171766281,-0.006887972354888916,1.174433946609497,-1.6067931652069092,10.85594367980957,-0.11192121222742674,-0.06944328199083047,-2.817486235968681,0.0,0.0,0.0,0.7921718520972335,-0.9910147679241098,9.750100110028693,0.0
2026/01/04 17:13:02.44492264,0,0,-0.1993972361087799,-0.39822545647621155,1.0170978307724,0.4126894474029541,0.09827910363674164,-0.012235191650688648,1.3308509588241577,-2.4188268184661865,10.698989868164062,-0.1078997891755301,-0.0658445387146347,-2.8173227895160604,0.0,0.0,0.0,0.8196509181131271,-0.9884921193859462,9.750304751958529,0.0
2026/01/04 17:13:02.82306408,0,0,-0.18946874141693115,-0.3960101306438446,1.0171456336975098,0.4298580586910248,0.08325375616550446,0.0029156922828406096,-0.11842025071382523,-1.732563853263855,10.456104278564453,-0.10265306196939361,-0.06359507268464401,-2.8161882730789696,0.0,0.0,0.0,0.7367392271709836,-0.9295007297917737,9.65161590340045,0.0
2026/01/04 17:13:02.105679880,0,0,-0.17939206957817078,-0.39405784010887146,1.0176602602005005,0.4248815178871155,0.05458204448223114,0.007852270267903805,0.2782684564590454,-1.3149110078811646,10.295660972595215,-0.09966138139831167,-0.06761105161506313,-2.815481810559295,0.0,0.0,0.0,0.7673219877964569,-0.9300816266243949,9.651506987113502,0.0
2026/01/04 17:13:02.134047944,0,0,-0.1658509373664856,-0.39176198840141296,1.0186967849731445,0.40458983182907104,0.05144193768501282,0.026414066553115845,0.822510302066803,-2.0057663917541504,10.659807205200195,-0.10224014529307385,-0.07209232245262381,-2.810779365794068,0.0,0.0,0.0,0.755749735430643,-0.8180443232769367,9.459596894443749,0.0
2026/01/04 17:13:02.164232584,0,0,-0.15913768112659454,-0.39068669080734253,1.0193184614181519,0.39907294511795044,0.03876794874668121,0.019762251526117325,1.0746787786483765,-0.702110767364502,9.684228897094727,-0.10376261701878317,-0.07319409579516123,-2.8086791253213446,0.0,0.0,0.0,0.8328358178463293,-0.8061061011299332,9.376843118788594,0.0
2026/01/04 17:13:02.193652904,0,0,-0.14923086762428284,-0.38911202549934387,1.0202726125717163,0.40220510959625244,0.04383482784032822,0.016317352652549744,1.1741271018981934,-0.8289331793785095,9.384208679199219,-0.10726180164719884,-0.07466970068457036,-2.8054612134174897,0.0,0.0,0.0,0.8511917886737959,-0.7873017164341025,9.454769217878452,0.0
2026/01/04 17:13:02.225754792,0,0,-0.13944222033023834,-0.38752520084381104,1.021069884300232,0.39662763476371765,0.038115937262773514,0.002164807403460145,0.9013732671737671,-0.3709412217140198,8.907381057739258,-0.10954455921526064,-0.07735496875397209,-2.80335704814362,0.0,0.0,0.0,0.9304884291437578,-0.783923175482552,9.517447910913472,0.0
2026/01/04 17:13:02.255205544,0,0,-0.12966981530189514,-0.3858700394630432,1.0215041637420654,0.39860254526138306,0.03816772252321243,-0.010181430727243423,0.9911206364631653,0.15271563827991486,8.708731651306152,-0.10925185531165499,-0.08071243645615123,-2.8004990302746497,0.0,0.0,0.0,0.9850559379717008,-0.7771324807450493,9.68704740336712,0.0
2026/01/04 17:13:02.285101608,0,0,-0.11975143849849701,-0.3841931223869324,1.0215773582458496,0.402974396944046,0.05185878649353981,-0.011985426768660545,0.416392982006073,0.04540496692061424,8.877580642700195,-0.10816953207152291,-0.0881500747060625,-2.7977480491561373,0.0,0.0,0.0,1.0416063122726484,-0.813618816354276,9.69241413081631,0.0
2026/01/04 17:13:02.313574888,0,0,-0.10630150139331818,-0.38200902938842773,1.0211888551712036,0.3946631848812103,0.0476774126291275,-0.019431745633482933,0.5321518778800964,-0.010025455616414547,8.977357864379883,-0.10682153149335859,-0.10329699567832511,-2.793814360836326,0.0,0.0,0.0,1.1050912004542806,-0.8392227835532649,9.714403427646985,0.0
2026/01/04 17:13:02.343615112,0,0,-0.09952036291360855,-0.38092997670173645,1.0208113193511963,0.39026159048080444,0.05076933279633522,-0.014944486320018768,1.0788174867630005,-0.3126051127910614,9.281898498535156,-0.10665365427190922,-0.110549368137176,-2.7900120648858184,0.0,0.0,0.0,1.194972928060528,-0.8254967039589971,9.785062822967902,0.0
2026/01/04 17:13:02.373997736,0,0,-0.0892709270119667,-0.3793800473213196,1.0201078653335571,0.3883123993873596,0.0634700283408165,-0.008726452477276325,1.375543236732483,-1.4873466491699219,10.056076049804688,-0.10867501115974153,-0.11972787916615396,-2.7851096885109317,0.0,0.0,0.0,1.2304235524365206,-0.8857091274902419,9.686957533284907,0.0
2026/01/04 17:13:02.403632552,0,0,-0.07542015612125397,-0.3773697018623352,1.0191230773925781,0.4003649652004242,0.05711386352777481,-0.0129197733476758,2.160331964492798,-1.8858658075332642,10.337300300598145,-0.11253330764519182,-0.1273389068638471,-2.777879374237414,0.0,0.0,0.0,1.2121679548507676,-0.8574796317438047,9.739786769437057,0.0
