time,sec,nsecs,x_curr,y_curr,z_curr,x_dot_curr,y_dot_curr,z_dot_curr,x_ddot_curr,y_ddot_curr,z_ddot_curr,roll_curr,pitch_curr,yaw_curr,roll_dot_curr,pitch_dot_curr,yaw_dot_curr,ex,ey,ez,ex_dot,ey_dot,ez_dot,ex_ddot,ey_ddot,ez_ddot,roll_err,pitch_err,yaw_err,tau_x,tau_y,tau_z,collective_thrust
1970/01/01 05:40:53.540584128,0,653533650,0.4102834463119507,-0.49679309129714966,0.9725074768066406,-0.1339072734117508,-0.16233429312705994,0.006584317423403263,0.06066864728927612,0.7180706262588501,9.539965629577637,0.01467637350327003,-0.00020677549911862558,-1.7708092121473409,0.0,0.0,0.0,0.02340571579747336,0.08216832662637563,0.027492523193359375,-0.07343946313481003,-0.05454710781131322,-0.006584317423403263,-0.16912475120647252,-0.6143812617007505,-9.539965629577637,-0.01467637350327003,0.00020677549911862558,1.7708092121473409,-0.08553015713418431,0.11576579903436514,9.656498330547098,0.0
1970/01/01 05:40:53.571006240,0,653553611,0.4065795838832855,-0.500451922416687,0.9726484417915344,-0.15063641965389252,-0.1669171303510666,-0.0041780355386435986,0.47944146394729614,-0.4059273898601532,10.183501243591309,0.014212254186492891,2.6731286201084298e-05,-1.7724726982562014,0.0,0.0,0.0,0.020138081329781565,0.0786557231910881,0.027351558208465576,-0.060297199263169426,-0.04647736028844596,0.0041780355386435986,-0.5861856763874775,0.5114402161184046,-10.183501243591309,-0.014212254186492891,-2.6731286201084298e-05,1.7724726982562014,-0.2574335473859658,0.17895985499920655,10.101090822081176,0.0
1970/01/01 05:40:53.600762496,0,653583646,0.4010467231273651,-0.5059036016464233,0.9723325967788696,-0.19391173124313354,-0.15262272953987122,-0.005903977435082197,-0.32289326190948486,-0.4106532037258148,9.279865264892578,0.015116766282523227,0.0007032710707250766,-1.7729312215587605,0.0,0.0,0.0,0.018580854401957114,0.07705319066522492,0.02766740322113037,-0.02054985225243991,-0.057225894289369306,0.005903977435082197,0.21795959963897474,0.5178923860838862,-9.279865264892578,-0.015116766282523227,-0.0007032710707250766,1.7729312215587605,-0.08925235595816818,0.1453032042159696,10.12002493065144,0.0
1970/01/01 05:40:53.630400032,0,653623678,0.3935967683792114,-0.5130038857460022,0.9714200496673584,-0.18008935451507568,-0.17372503876686096,-0.011617843993008137,-1.2670371532440186,0.5171963572502136,9.237357139587402,0.014426786901245048,-0.00013300776520845902,-1.7773026975893291,0.0,0.0,0.0,0.018824128508287685,0.07721841765626869,0.0285799503326416,-0.03783984188668693,-0.03252017304878019,0.011617843993008137,1.1639140411431796,-0.40823081879232226,-9.237357139587402,-0.014426786901245048,0.00013300776520845902,1.7773026975893291,-0.21932136511119157,0.22763424008190153,10.50060640636981,0.0
1970/01/01 05:40:53.660786496,0,653643687,0.39002758264541626,-0.5162596106529236,0.9706737399101257,-0.18511085212230682,-0.14939287304878235,-0.017894722521305084,-0.8010798096656799,-0.6025457978248596,9.862678527832031,0.014387551927538655,-0.0007441179582244229,-1.7764874259065746,0.0,0.0,0.0,0.015072052364592137,0.07366015827516387,0.029326260089874268,-0.036225605513322545,-0.05319138154993211,0.017894722521305084,0.6997672477345124,0.7132376923825708,-9.862678527832031,-0.014387551927538655,0.0007441179582244229,1.7764874259065746,-0.15080546200774875,0.15156304369579818,10.246295109155666,0.0
1970/01/01 05:40:53.690997984,0,653673572,0.384911447763443,-0.5209060311317444,0.9696752429008484,-0.19125871360301971,-0.16192418336868286,-0.04743644967675209,1.1982762813568115,-0.4824827313423157,9.146679878234863,0.015460931664155624,-0.0006573540631990024,-1.7836998535736153,0.0,0.0,0.0,0.020188187246565403,0.07830657875398467,0.03032475709915161,-0.030077744032609655,-0.0406600712300316,0.04743644967675209,-1.299588843287979,0.5931746259000269,-9.146679878234863,-0.015460931664155624,0.0006573540631990024,1.7836998535736153,-0.14601913682681242,0.20366465189551647,10.527929510919542,0.0
1970/01/01 05:40:53.720657056,0,653713508,0.37800827622413635,-0.5267990231513977,0.968517005443573,-0.18333011865615845,-0.13115669786930084,-0.049079038202762604,-0.579659640789032,0.059850092977285385,9.21286392211914,0.016258069898748083,-0.0018097358389792615,-1.7838034686672843,0.0,0.0,0.0,0.01965752804118026,0.07750857675745199,0.031482994556427,-0.04135306719103282,-0.06770925700858735,0.049079038202762604,0.48019156605172925,0.05253022541639951,-9.21286392211914,-0.016258069898748083,0.0018097358389792615,1.7838034686672843,-0.2664098449685242,0.13566599517088926,10.401794340843562,0.0
1970/01/01 05:40:53.750288896,0,653733569,0.3745473027229309,-0.5296919941902161,0.9680120348930359,-0.21087685227394104,-0.1488485187292099,-0.028499452397227287,0.04413139447569847,-1.1431944370269775,10.627132415771484,0.018511604684730745,-0.002709863764377909,-1.785064223902321,0.0,0.0,0.0,0.015574156860998833,0.07383541393059617,0.03198796510696411,-0.017089996110876776,-0.046244624732255935,0.028499452397227287,-0.14168307199599084,1.2571828036186365,-10.627132415771484,-0.018511604684730745,0.002709863764377909,1.785064223902321,-0.11062778279322392,0.17380722717450942,10.369454451280447,0.0
1970/01/01 05:40:53.780545280,0,653763548,0.3692779839038849,-0.5338199734687805,0.9671308398246765,-0.1567162573337555,-0.14843030273914337,-0.039033737033605576,-0.4616333842277527,1.3358564376831055,8.978596687316895,0.019116687857089476,-0.002845433189359365,-1.787897754284272,0.0,0.0,0.0,0.013190740245857424,0.07152391308414363,0.032869160175323486,-0.07447037368145532,-0.04283642769930082,0.039033737033605576,0.3659981039244708,-1.2202600228934724,-8.978596687316895,-0.019116687857089476,0.002845433189359365,1.787897754284272,-0.31685103715401647,0.18040762529993126,10.474857626881187,0.0
1970/01/01 05:40:53.810754496,0,653803625,0.3617737889289856,-0.5394779443740845,0.9661775231361389,-0.1518476903438568,-0.12638309597969055,-0.03641993924975395,0.6210547685623169,-1.0955218076705933,10.5248441696167,0.01943707868415659,-0.00266672241852251,-1.792055525614107,0.0,0.0,0.0,0.012935938364010302,0.07087084432530816,0.033822476863861084,-0.08249484339451321,-0.06100361982913299,0.03641993924975395,-0.7147736516485884,1.2127262706582003,-10.5248441696167,-0.01943707868415659,0.00266672241852251,1.792055525614107,-0.3438062119320497,0.11642150713587443,10.459958406340311,0.0
1970/01/01 05:40:53.840719264,0,653823446,0.3574402332305908,-0.5426339507102966,0.9657911062240601,-0.1780880093574524,-0.15844368934631348,0.0025625256821513176,-0.8469720482826233,0.2653006613254547,8.510224342346191,0.018526525742273314,-0.004342986884822993,-1.7921945668028563,0.0,0.0,0.0,0.009406367570597318,0.06784603505382203,0.03420889377593994,-0.05934611632697312,-0.025009958121900183,-0.0025625256821513176,0.75521992992032,-0.14655219763510835,-8.510224342346191,-0.018526525742273314,0.004342986884822993,1.7921945668028563,-0.2713415013429508,0.23491644193441824,10.104912740284755,0.0
1970/01/01 05:40:53.870359136,0,653853436,0.35085147619247437,-0.5472399592399597,0.9650987386703491,-0.19545873999595642,-0.11251702159643173,-0.026059774681925774,0.18463678658008575,1.0736165046691895,10.38803482055664,0.01775962601344612,-0.0027255226143133382,-1.7943356634190664,0.0,0.0,0.0,0.008030053414144422,0.0664031680486789,0.03490126132965088,-0.04500021417372754,-0.06695362266121077,0.026059774681925774,-0.2743743773332912,-0.9533847757252644,-10.38803482055664,-0.01775962601344612,0.0027255226143133382,1.7943356634190664,-0.22323964618831155,0.08519417608868594,10.374990605018061,0.0
1970/01/01 05:40:53.900696448,0,653893417,0.3415621817111969,-0.5534956455230713,0.9641060829162598,-0.17668750882148743,-0.13699260354042053,-0.008097119629383087,-0.11980945616960526,-0.8111534714698792,10.134652137756348,0.01933204790333491,-0.003820106830841276,-1.7943455207523606,0.0,0.0,0.0,0.017319347895421888,0.07265885433179048,0.035893917083740234,-0.06377144534819654,-0.04247804071722197,0.008097119629383087,0.030071865416399862,0.9313852004138042,-10.134652137756348,-0.01933204790333491,0.003820106830841276,1.7943455207523606,-0.26107826074346036,0.18970877060467048,10.219208680480058,0.0
1970/01/01 05:40:53.930300416,0,653913649,0.3365439772605896,-0.5567691326141357,0.9636437296867371,-0.23812736570835114,-0.13496844470500946,-0.0010832393309101462,0.546603262424469,-2.0283362865448,10.373086929321289,0.021329889765011933,-0.0018719222153054556,-1.7975658006122837,0.0,0.0,0.0,0.014272772717289717,0.07001705669798636,0.03635627031326294,-0.005289266026288042,-0.04046975416694257,0.0010832393309101462,-0.6343263255685765,2.1500512807423036,-10.373086929321289,-0.021329889765011933,0.0018719222153054556,1.7975658006122837,-0.06337392163880196,0.1902952471135613,10.159105969067616,0.0
1970/01/01 05:40:53.960517472,0,653943445,0.32907700538635254,-0.5615105032920837,0.9632372260093689,-0.16892166435718536,-0.13619999587535858,-0.03872939199209213,0.10923265665769577,-1.35194730758667,10.773584365844727,0.023304122407011543,-0.0018769718551761088,-1.7988959960467041,0.0,0.0,0.0,0.013577494892627051,0.0689783815335075,0.036762773990631104,-0.07738549402210576,-0.03515631543578368,0.03872939199209213,-0.1949411921927054,1.4751455670377525,-10.773584365844727,-0.023304122407011543,0.0018769718551761088,1.7988959960467041,-0.31625370856085727,0.2075995740010174,10.509855511483565,0.0
